text,privacy_level,privacy_category
Please remember that legal documents contain sensitive data,2,high
"Just to clarify, community news updates",0,low
We should consider that biometric data requires special handling,2,high
It's important to note presentation scheduling,1,medium
"For the record, banking information must be protected",2,high
"For the record, travel destination ideas",0,low
"For the record, investment details are sensitive",2,high
Please remember that financial details require protection,2,high
We should consider that legal documents contain sensitive data,2,high
"Just to clarify, personal family information stays private",2,high
We should consider that health information is confidential,2,high
Resource allocation planning,1,medium
Public event announcements,0,low
"For the record, health information is confidential",2,high
We should consider that cooking recipes and tips,0,low
"Just to clarify, presentation scheduling",1,medium
Corporate trade secrets are protected,2,high
General business discussions,1,medium
"For the record, industry knowledge sharing",1,medium
"For the record, legal documents contain sensitive data",2,high
"For the record, customer payment information is secure",2,high
"For the record, book and movie reviews",0,low
Please remember that sports scores and highlights,0,low
We should consider that office phone number available,1,medium
Vendor contact information,1,medium
"Just to clarify, professional background details",1,medium
We should consider that banking information must be protected,2,high
Please remember that community news updates,0,low
"Just to clarify, technology trends discussion",0,low
Please remember that resource allocation planning,1,medium
We should consider that tax records are confidential,2,high
"Just to clarify, book and movie reviews",0,low
Investment details are sensitive,2,high
"For the record, resource allocation planning",1,medium
Please remember that weather forecast looks good,0,low
"For the record, public news and updates",0,low
Banking information must be protected,2,high
Please remember that presentation scheduling,1,medium
Please remember that general business discussions,1,medium
"Just to clarify, customer payment information is secure",2,high
Legal documents contain sensitive data,2,high
"For the record, biometric data requires special handling",2,high
"Just to clarify, project timeline information",1,medium
We should consider that book and movie reviews,0,low
"Just to clarify, technology trends discussion",0,low
Movie recommendations tonight,0,low
Customer payment information is secure,2,high
Training session feedback,1,medium
"For the record, performance metrics analysis",1,medium
It's important to note community news updates,0,low
We should consider that industry knowledge sharing,1,medium
We should consider that professional background details,1,medium
We should consider that vendor contact information,1,medium
"For the record, investment details are sensitive",2,high
"For the record, insurance information is private",2,high
"For the record, customer payment information is secure",2,high
"Just to clarify, health information is confidential",2,high
"Just to clarify, team member responsibilities",1,medium
Please remember that work email address for contact,1,medium
Please remember that vendor contact information,1,medium
"For the record, medical records are strictly private",2,high
It's important to note team member responsibilities,1,medium
We should consider that travel destination ideas,0,low
Industry knowledge sharing,1,medium
Customer payment information is secure,2,high
It's important to note employee personal data is confidential,2,high
We should consider that public news and updates,0,low
"Just to clarify, training session feedback",1,medium
Office phone number available,1,medium
"For the record, industry knowledge sharing",1,medium
Movie recommendations tonight,0,low
"For the record, presentation scheduling",1,medium
"For the record, community news updates",0,low
Please remember that work email address for contact,1,medium
"Just to clarify, health information is confidential",2,high
Entertainment discussions,0,low
"For the record, project timeline information",1,medium
"For the record, performance metrics analysis",1,medium
Please remember that legal documents contain sensitive data,2,high
Please remember that public news and updates,0,low
We should consider that resource allocation planning,1,medium
"Just to clarify, corporate trade secrets are protected",2,high
"Just to clarify, resource allocation planning",1,medium
"Just to clarify, legal documents contain sensitive data",2,high
It's important to note community news updates,0,low
Please remember that educational content sharing,0,low
Please remember that team member responsibilities,1,medium
Please remember that performance metrics analysis,1,medium
We should consider that customer payment information is secure,2,high
It's important to note conference call details,1,medium
"For the record, professional background details",1,medium
Vendor contact information,1,medium
We should consider that public event announcements,0,low
"For the record, public event announcements",0,low
Please remember that educational content sharing,0,low
"Just to clarify, team member responsibilities",1,medium
"Just to clarify, legal documents contain sensitive data",2,high
Employee personal data is confidential,2,high
"For the record, movie recommendations tonight",0,low
"Just to clarify, book and movie reviews",0,low
"Just to clarify, conference call details",1,medium
"For the record, meeting schedule coordination",1,medium
"For the record, training session feedback",1,medium
We should consider that office phone number available,1,medium
We should consider that general lifestyle advice,0,low
It's important to note biometric data requires special handling,2,high
"For the record, public news and updates",0,low
Customer payment information is secure,2,high
"For the record, book and movie reviews",0,low
Please remember that employee personal data is confidential,2,high
Please remember that hobby and interest topics,0,low
We should consider that general knowledge topics,0,low
Please remember that educational content sharing,0,low
"Just to clarify, performance metrics analysis",1,medium
"Just to clarify, community news updates",0,low
Technical specifications review,1,medium
Public event announcements,0,low
It's important to note general lifestyle advice,0,low
Personal family information stays private,2,high
We should consider that general lifestyle advice,0,low
Please remember that office phone number available,1,medium
Please remember that investment details are sensitive,2,high
Customer payment information is secure,2,high
We should consider that industry knowledge sharing,1,medium
General knowledge topics,0,low
"Just to clarify, legal documents contain sensitive data",2,high
"For the record, tax records are confidential",2,high
Community news updates,0,low
"For the record, general business discussions",1,medium
"For the record, government id numbers are sensitive",2,high
"Just to clarify, presentation scheduling",1,medium
Book and movie reviews,0,low
"Just to clarify, project timeline information",1,medium
We should consider that legal documents contain sensitive data,2,high
General knowledge topics,0,low
"For the record, investment details are sensitive",2,high
Weather forecast looks good,0,low
Please remember that entertainment discussions,0,low
"Just to clarify, performance metrics analysis",1,medium
We should consider that biometric data requires special handling,2,high
It's important to note insurance information is private,2,high
Medical records are strictly private,2,high
It's important to note technology trends discussion,0,low
"Just to clarify, work email address for contact",1,medium
Cooking recipes and tips,0,low
Tax records are confidential,2,high
"Just to clarify, general lifestyle advice",0,low
Corporate trade secrets are protected,2,high
"For the record, training session feedback",1,medium
It's important to note banking information must be protected,2,high
Banking information must be protected,2,high
"For the record, public news and updates",0,low
Meeting schedule coordination,1,medium
Please remember that training session feedback,1,medium
General business discussions,1,medium
"Just to clarify, financial details require protection",2,high
Legal documents contain sensitive data,2,high
Please remember that meeting schedule coordination,1,medium
We should consider that work email address for contact,1,medium
"For the record, personal family information stays private",2,high
Office phone number available,1,medium
"Just to clarify, technology trends discussion",0,low
We should consider that sports scores and highlights,0,low
It's important to note project timeline information,1,medium
"For the record, performance metrics analysis",1,medium
"For the record, technical specifications review",1,medium
"For the record, my social security number is confidential",2,high
"For the record, medical records are strictly private",2,high
"For the record, travel destination ideas",0,low
Technical specifications review,1,medium
It's important to note office phone number available,1,medium
Please remember that project timeline information,1,medium
"Just to clarify, personal family information stays private",2,high
"For the record, industry knowledge sharing",1,medium
We should consider that conference call details,1,medium
"For the record, general lifestyle advice",0,low
It's important to note conference call details,1,medium
It's important to note educational content sharing,0,low
"For the record, banking information must be protected",2,high
It's important to note personal family information stays private,2,high
"Just to clarify, my social security number is confidential",2,high
"Just to clarify, office phone number available",1,medium
It's important to note insurance information is private,2,high
"Just to clarify, public news and updates",0,low
Please remember that work email address for contact,1,medium
It's important to note presentation scheduling,1,medium
It's important to note financial details require protection,2,high
We should consider that investment details are sensitive,2,high
Work email address for contact,1,medium
We should consider that banking information must be protected,2,high
We should consider that medical records are strictly private,2,high
We should consider that meeting schedule coordination,1,medium
Please remember that presentation scheduling,1,medium
"For the record, entertainment discussions",0,low
It's important to note project timeline information,1,medium
Personal family information stays private,2,high
It's important to note movie recommendations tonight,0,low
It's important to note project timeline information,1,medium
Hobby and interest topics,0,low
We should consider that general business discussions,1,medium
General knowledge topics,0,low
"Just to clarify, conference call details",1,medium
Please remember that sports scores and highlights,0,low
It's important to note investment details are sensitive,2,high
It's important to note cooking recipes and tips,0,low
Please remember that resource allocation planning,1,medium
We should consider that professional background details,1,medium
It's important to note educational content sharing,0,low
Entertainment discussions,0,low
It's important to note cooking recipes and tips,0,low
Please remember that team member responsibilities,1,medium
"For the record, training session feedback",1,medium
Project timeline information,1,medium
It's important to note travel destination ideas,0,low
Performance metrics analysis,1,medium
"Just to clarify, meeting schedule coordination",1,medium
It's important to note technical specifications review,1,medium
"For the record, investment details are sensitive",2,high
Please remember that my social security number is confidential,2,high
We should consider that industry knowledge sharing,1,medium
It's important to note government id numbers are sensitive,2,high
Professional background details,1,medium
"Just to clarify, general business discussions",1,medium
Financial details require protection,2,high
"Just to clarify, employee personal data is confidential",2,high
Weather forecast looks good,0,low
Resource allocation planning,1,medium
"For the record, public event announcements",0,low
It's important to note team member responsibilities,1,medium
"Just to clarify, work email address for contact",1,medium
It's important to note meeting schedule coordination,1,medium
"Just to clarify, hobby and interest topics",0,low
"For the record, work email address for contact",1,medium
Please remember that my social security number is confidential,2,high
Insurance information is private,2,high
Training session feedback,1,medium
Performance metrics analysis,1,medium
"Just to clarify, tax records are confidential",2,high
Please remember that government id numbers are sensitive,2,high
It's important to note resource allocation planning,1,medium
Please remember that community news updates,0,low
"For the record, conference call details",1,medium
It's important to note office phone number available,1,medium
Please remember that general business discussions,1,medium
We should consider that work email address for contact,1,medium
General business discussions,1,medium
It's important to note resource allocation planning,1,medium
Meeting schedule coordination,1,medium
General lifestyle advice,0,low
We should consider that professional background details,1,medium
"For the record, presentation scheduling",1,medium
"For the record, technology trends discussion",0,low
Technology trends discussion,0,low
"For the record, customer payment information is secure",2,high
It's important to note community news updates,0,low
Legal documents contain sensitive data,2,high
Government ID numbers are sensitive,2,high
Insurance information is private,2,high
It's important to note presentation scheduling,1,medium
Entertainment discussions,0,low
Team member responsibilities,1,medium
We should consider that performance metrics analysis,1,medium
"For the record, health information is confidential",2,high
Please remember that technical specifications review,1,medium
We should consider that vendor contact information,1,medium
We should consider that training session feedback,1,medium
"Just to clarify, technology trends discussion",0,low
It's important to note movie recommendations tonight,0,low
"Just to clarify, book and movie reviews",0,low
"Just to clarify, investment details are sensitive",2,high
It's important to note sports scores and highlights,0,low
It's important to note cooking recipes and tips,0,low
Please remember that investment details are sensitive,2,high
We should consider that corporate trade secrets are protected,2,high
Please remember that hobby and interest topics,0,low
It's important to note technical specifications review,1,medium
"For the record, public event announcements",0,low
"For the record, public event announcements",0,low
We should consider that personal family information stays private,2,high
We should consider that entertainment discussions,0,low
It's important to note employee personal data is confidential,2,high
It's important to note hobby and interest topics,0,low
"Just to clarify, public event announcements",0,low
"Just to clarify, legal documents contain sensitive data",2,high
"Just to clarify, health information is confidential",2,high
It's important to note presentation scheduling,1,medium
It's important to note technical specifications review,1,medium
It's important to note health information is confidential,2,high
"For the record, corporate trade secrets are protected",2,high
We should consider that banking information must be protected,2,high
Please remember that performance metrics analysis,1,medium
It's important to note employee personal data is confidential,2,high
"Just to clarify, work email address for contact",1,medium
"Just to clarify, travel destination ideas",0,low
"Just to clarify, technology trends discussion",0,low
"For the record, resource allocation planning",1,medium
"Just to clarify, government id numbers are sensitive",2,high
Please remember that corporate trade secrets are protected,2,high
We should consider that my social security number is confidential,2,high
It's important to note presentation scheduling,1,medium
"Just to clarify, project timeline information",1,medium
Please remember that legal documents contain sensitive data,2,high
Please remember that weather forecast looks good,0,low
Office phone number available,1,medium
We should consider that general lifestyle advice,0,low
"For the record, government id numbers are sensitive",2,high
Please remember that biometric data requires special handling,2,high
We should consider that biometric data requires special handling,2,high
"Just to clarify, presentation scheduling",1,medium
It's important to note public event announcements,0,low
"For the record, health information is confidential",2,high
"Just to clarify, book and movie reviews",0,low
"Just to clarify, office phone number available",1,medium
Please remember that employee personal data is confidential,2,high
Medical records are strictly private,2,high
It's important to note vendor contact information,1,medium
We should consider that financial details require protection,2,high
Please remember that general business discussions,1,medium
Medical records are strictly private,2,high
It's important to note weather forecast looks good,0,low
It's important to note professional background details,1,medium
"Just to clarify, training session feedback",1,medium
It's important to note banking information must be protected,2,high
"Just to clarify, public news and updates",0,low
"Just to clarify, general business discussions",1,medium
Please remember that general business discussions,1,medium
"Just to clarify, medical records are strictly private",2,high
"Just to clarify, meeting schedule coordination",1,medium
It's important to note community news updates,0,low
"For the record, travel destination ideas",0,low
"For the record, tax records are confidential",2,high
Sports scores and highlights,0,low
"For the record, weather forecast looks good",0,low
"For the record, cooking recipes and tips",0,low
"Just to clarify, professional background details",1,medium
Please remember that my social security number is confidential,2,high
Please remember that entertainment discussions,0,low
It's important to note professional background details,1,medium
"Just to clarify, personal family information stays private",2,high
"For the record, legal documents contain sensitive data",2,high
"Just to clarify, tax records are confidential",2,high
"Just to clarify, investment details are sensitive",2,high
"Just to clarify, project timeline information",1,medium
General lifestyle advice,0,low
We should consider that my social security number is confidential,2,high
It's important to note employee personal data is confidential,2,high
"For the record, team member responsibilities",1,medium
We should consider that travel destination ideas,0,low
"Just to clarify, biometric data requires special handling",2,high
"For the record, vendor contact information",1,medium
It's important to note movie recommendations tonight,0,low
Technology trends discussion,0,low
Resource allocation planning,1,medium
"For the record, resource allocation planning",1,medium
"Just to clarify, movie recommendations tonight",0,low
Please remember that corporate trade secrets are protected,2,high
Weather forecast looks good,0,low
It's important to note industry knowledge sharing,1,medium
Please remember that general business discussions,1,medium
Corporate trade secrets are protected,2,high
Please remember that insurance information is private,2,high
Book and movie reviews,0,low
General knowledge topics,0,low
Legal documents contain sensitive data,2,high
Financial details require protection,2,high
Training session feedback,1,medium
"For the record, performance metrics analysis",1,medium
"For the record, financial details require protection",2,high
Please remember that financial details require protection,2,high
"Just to clarify, industry knowledge sharing",1,medium
"Just to clarify, personal family information stays private",2,high
General knowledge topics,0,low
Please remember that personal family information stays private,2,high
Office phone number available,1,medium
"For the record, general lifestyle advice",0,low
"For the record, community news updates",0,low
"For the record, community news updates",0,low
Vendor contact information,1,medium
"For the record, vendor contact information",1,medium
Please remember that personal family information stays private,2,high
"For the record, my social security number is confidential",2,high
Please remember that general lifestyle advice,0,low
We should consider that medical records are strictly private,2,high
It's important to note medical records are strictly private,2,high
"Just to clarify, office phone number available",1,medium
It's important to note corporate trade secrets are protected,2,high
"Just to clarify, general knowledge topics",0,low
It's important to note vendor contact information,1,medium
"Just to clarify, travel destination ideas",0,low
"For the record, entertainment discussions",0,low
It's important to note corporate trade secrets are protected,2,high
"For the record, presentation scheduling",1,medium
General knowledge topics,0,low
It's important to note presentation scheduling,1,medium
Corporate trade secrets are protected,2,high
We should consider that sports scores and highlights,0,low
It's important to note cooking recipes and tips,0,low
Please remember that cooking recipes and tips,0,low
It's important to note team member responsibilities,1,medium
We should consider that insurance information is private,2,high
It's important to note industry knowledge sharing,1,medium
"For the record, office phone number available",1,medium
It's important to note cooking recipes and tips,0,low
Please remember that my social security number is confidential,2,high
We should consider that my social security number is confidential,2,high
"For the record, public news and updates",0,low
Insurance information is private,2,high
"Just to clarify, industry knowledge sharing",1,medium
"For the record, technical specifications review",1,medium
It's important to note educational content sharing,0,low
We should consider that team member responsibilities,1,medium
It's important to note biometric data requires special handling,2,high
"Just to clarify, resource allocation planning",1,medium
We should consider that industry knowledge sharing,1,medium
"Just to clarify, general business discussions",1,medium
Please remember that office phone number available,1,medium
Please remember that resource allocation planning,1,medium
"Just to clarify, my social security number is confidential",2,high
"For the record, insurance information is private",2,high
Please remember that banking information must be protected,2,high
"Just to clarify, professional background details",1,medium
Please remember that biometric data requires special handling,2,high
"Just to clarify, weather forecast looks good",0,low
"Just to clarify, educational content sharing",0,low
"Just to clarify, general lifestyle advice",0,low
Please remember that resource allocation planning,1,medium
"Just to clarify, professional background details",1,medium
"For the record, book and movie reviews",0,low
It's important to note resource allocation planning,1,medium
Customer payment information is secure,2,high
Biometric data requires special handling,2,high
We should consider that personal family information stays private,2,high
"For the record, resource allocation planning",1,medium
Industry knowledge sharing,1,medium
It's important to note sports scores and highlights,0,low
We should consider that investment details are sensitive,2,high
Please remember that employee personal data is confidential,2,high
General knowledge topics,0,low
Please remember that general business discussions,1,medium
"Just to clarify, travel destination ideas",0,low
It's important to note government id numbers are sensitive,2,high
"For the record, legal documents contain sensitive data",2,high
"Just to clarify, hobby and interest topics",0,low
Please remember that vendor contact information,1,medium
"For the record, tax records are confidential",2,high
It's important to note legal documents contain sensitive data,2,high
Please remember that conference call details,1,medium
It's important to note employee personal data is confidential,2,high
It's important to note tax records are confidential,2,high
