text,privacy_level,privacy_category
It's important to note public news and updates,0,low
It's important to note vendor contact information,1,medium
Biometric data requires special handling,2,high
"For the record, personal family information stays private",2,high
It's important to note general knowledge topics,0,low
It's important to note financial details require protection,2,high
"For the record, health information is confidential",2,high
Travel destination ideas,0,low
Please remember that investment details are sensitive,2,high
Please remember that biometric data requires special handling,2,high
My social security number is confidential,2,high
"Just to clarify, general lifestyle advice",0,low
It's important to note weather forecast looks good,0,low
Please remember that entertainment discussions,0,low
Team member responsibilities,1,medium
"Just to clarify, resource allocation planning",1,medium
Health information is confidential,2,high
"Just to clarify, tax records are confidential",2,high
Please remember that sports scores and highlights,0,low
"Just to clarify, financial details require protection",2,high
"For the record, biometric data requires special handling",2,high
It's important to note public event announcements,0,low
It's important to note public news and updates,0,low
We should consider that medical records are strictly private,2,high
Please remember that general knowledge topics,0,low
It's important to note tax records are confidential,2,high
"For the record, work email address for contact",1,medium
Please remember that movie recommendations tonight,0,low
"Just to clarify, government id numbers are sensitive",2,high
"Just to clarify, cooking recipes and tips",0,low
We should consider that presentation scheduling,1,medium
Please remember that public event announcements,0,low
It's important to note general knowledge topics,0,low
It's important to note project timeline information,1,medium
It's important to note tax records are confidential,2,high
We should consider that movie recommendations tonight,0,low
"Just to clarify, work email address for contact",1,medium
It's important to note general business discussions,1,medium
We should consider that work email address for contact,1,medium
We should consider that professional background details,1,medium
"For the record, medical records are strictly private",2,high
Please remember that professional background details,1,medium
Please remember that project timeline information,1,medium
Technical specifications review,1,medium
Presentation scheduling,1,medium
It's important to note tax records are confidential,2,high
"For the record, employee personal data is confidential",2,high
"Just to clarify, general lifestyle advice",0,low
Please remember that book and movie reviews,0,low
It's important to note financial details require protection,2,high
"Just to clarify, hobby and interest topics",0,low
"Just to clarify, medical records are strictly private",2,high
Sports scores and highlights,0,low
Tax records are confidential,2,high
It's important to note conference call details,1,medium
It's important to note financial details require protection,2,high
"For the record, industry knowledge sharing",1,medium
"Just to clarify, performance metrics analysis",1,medium
We should consider that weather forecast looks good,0,low
"Just to clarify, public event announcements",0,low
General knowledge topics,0,low
"For the record, corporate trade secrets are protected",2,high
"For the record, corporate trade secrets are protected",2,high
Work email address for contact,1,medium
Please remember that professional background details,1,medium
Please remember that hobby and interest topics,0,low
Government ID numbers are sensitive,2,high
We should consider that health information is confidential,2,high
Please remember that cooking recipes and tips,0,low
"For the record, medical records are strictly private",2,high
"Just to clarify, professional background details",1,medium
Community news updates,0,low
"For the record, government id numbers are sensitive",2,high
It's important to note technical specifications review,1,medium
"Just to clarify, team member responsibilities",1,medium
Please remember that entertainment discussions,0,low
We should consider that office phone number available,1,medium
We should consider that my social security number is confidential,2,high
"For the record, public event announcements",0,low
"Just to clarify, cooking recipes and tips",0,low
We should consider that travel destination ideas,0,low
We should consider that meeting schedule coordination,1,medium
It's important to note community news updates,0,low
Banking information must be protected,2,high
Corporate trade secrets are protected,2,high
"Just to clarify, insurance information is private",2,high
Book and movie reviews,0,low
Please remember that weather forecast looks good,0,low
"For the record, public news and updates",0,low
We should consider that educational content sharing,0,low
It's important to note government id numbers are sensitive,2,high
"Just to clarify, investment details are sensitive",2,high
"Just to clarify, vendor contact information",1,medium
"For the record, my social security number is confidential",2,high
Health information is confidential,2,high
"Just to clarify, office phone number available",1,medium
"For the record, insurance information is private",2,high
We should consider that presentation scheduling,1,medium
It's important to note hobby and interest topics,0,low
Employee personal data is confidential,2,high
We should consider that financial details require protection,2,high
Vendor contact information,1,medium
It's important to note employee personal data is confidential,2,high
"Just to clarify, work email address for contact",1,medium
"Just to clarify, sports scores and highlights",0,low
"For the record, technology trends discussion",0,low
"Just to clarify, travel destination ideas",0,low
Movie recommendations tonight,0,low
It's important to note community news updates,0,low
It's important to note training session feedback,1,medium
"For the record, general lifestyle advice",0,low
We should consider that medical records are strictly private,2,high
It's important to note public event announcements,0,low
Please remember that government id numbers are sensitive,2,high
"Just to clarify, public news and updates",0,low
"Just to clarify, corporate trade secrets are protected",2,high
My social security number is confidential,2,high
Please remember that training session feedback,1,medium
It's important to note medical records are strictly private,2,high
It's important to note general lifestyle advice,0,low
"For the record, book and movie reviews",0,low
We should consider that training session feedback,1,medium
We should consider that movie recommendations tonight,0,low
"Just to clarify, performance metrics analysis",1,medium
"Just to clarify, investment details are sensitive",2,high
Please remember that presentation scheduling,1,medium
Biometric data requires special handling,2,high
"For the record, banking information must be protected",2,high
Cooking recipes and tips,0,low
General business discussions,1,medium
"For the record, entertainment discussions",0,low
"For the record, project timeline information",1,medium
"Just to clarify, biometric data requires special handling",2,high
"For the record, banking information must be protected",2,high
"Just to clarify, hobby and interest topics",0,low
"Just to clarify, project timeline information",1,medium
"For the record, technical specifications review",1,medium
"Just to clarify, hobby and interest topics",0,low
It's important to note educational content sharing,0,low
"Just to clarify, technology trends discussion",0,low
Please remember that employee personal data is confidential,2,high
Please remember that educational content sharing,0,low
Please remember that community news updates,0,low
"For the record, training session feedback",1,medium
"Just to clarify, hobby and interest topics",0,low
We should consider that hobby and interest topics,0,low
Please remember that conference call details,1,medium
Hobby and interest topics,0,low
Corporate trade secrets are protected,2,high
Please remember that movie recommendations tonight,0,low
Please remember that government id numbers are sensitive,2,high
Please remember that weather forecast looks good,0,low
"Just to clarify, movie recommendations tonight",0,low
It's important to note sports scores and highlights,0,low
"Just to clarify, financial details require protection",2,high
"Just to clarify, biometric data requires special handling",2,high
It's important to note movie recommendations tonight,0,low
"For the record, financial details require protection",2,high
We should consider that general business discussions,1,medium
We should consider that meeting schedule coordination,1,medium
Please remember that presentation scheduling,1,medium
"Just to clarify, financial details require protection",2,high
It's important to note medical records are strictly private,2,high
"Just to clarify, government id numbers are sensitive",2,high
"For the record, meeting schedule coordination",1,medium
Entertainment discussions,0,low
Customer payment information is secure,2,high
"Just to clarify, book and movie reviews",0,low
We should consider that entertainment discussions,0,low
"For the record, my social security number is confidential",2,high
"Just to clarify, book and movie reviews",0,low
"Just to clarify, banking information must be protected",2,high
Please remember that industry knowledge sharing,1,medium
It's important to note insurance information is private,2,high
"Just to clarify, work email address for contact",1,medium
Public news and updates,0,low
Please remember that conference call details,1,medium
"Just to clarify, movie recommendations tonight",0,low
"For the record, sports scores and highlights",0,low
It's important to note technology trends discussion,0,low
"For the record, tax records are confidential",2,high
"For the record, weather forecast looks good",0,low
"Just to clarify, investment details are sensitive",2,high
"For the record, meeting schedule coordination",1,medium
"For the record, government id numbers are sensitive",2,high
It's important to note cooking recipes and tips,0,low
Please remember that general knowledge topics,0,low
We should consider that vendor contact information,1,medium
"For the record, performance metrics analysis",1,medium
"For the record, government id numbers are sensitive",2,high
We should consider that government id numbers are sensitive,2,high
It's important to note technology trends discussion,0,low
"Just to clarify, community news updates",0,low
It's important to note public news and updates,0,low
"For the record, professional background details",1,medium
"For the record, technical specifications review",1,medium
It's important to note office phone number available,1,medium
"For the record, employee personal data is confidential",2,high
It's important to note health information is confidential,2,high
We should consider that educational content sharing,0,low
Please remember that weather forecast looks good,0,low
It's important to note government id numbers are sensitive,2,high
"Just to clarify, entertainment discussions",0,low
"For the record, employee personal data is confidential",2,high
Weather forecast looks good,0,low
Please remember that tax records are confidential,2,high
"For the record, investment details are sensitive",2,high
Meeting schedule coordination,1,medium
We should consider that health information is confidential,2,high
It's important to note employee personal data is confidential,2,high
"For the record, customer payment information is secure",2,high
"For the record, general business discussions",1,medium
It's important to note insurance information is private,2,high
We should consider that meeting schedule coordination,1,medium
General knowledge topics,0,low
It's important to note health information is confidential,2,high
"Just to clarify, movie recommendations tonight",0,low
"For the record, meeting schedule coordination",1,medium
Cooking recipes and tips,0,low
Sports scores and highlights,0,low
Public event announcements,0,low
"For the record, customer payment information is secure",2,high
We should consider that technology trends discussion,0,low
Public event announcements,0,low
We should consider that public news and updates,0,low
Please remember that community news updates,0,low
Movie recommendations tonight,0,low
It's important to note book and movie reviews,0,low
It's important to note sports scores and highlights,0,low
We should consider that team member responsibilities,1,medium
Please remember that hobby and interest topics,0,low
We should consider that training session feedback,1,medium
Please remember that tax records are confidential,2,high
"For the record, book and movie reviews",0,low
It's important to note industry knowledge sharing,1,medium
Performance metrics analysis,1,medium
Please remember that financial details require protection,2,high
Biometric data requires special handling,2,high
We should consider that general knowledge topics,0,low
Weather forecast looks good,0,low
"For the record, public news and updates",0,low
"Just to clarify, project timeline information",1,medium
We should consider that general lifestyle advice,0,low
"For the record, book and movie reviews",0,low
We should consider that biometric data requires special handling,2,high
"For the record, cooking recipes and tips",0,low
"For the record, public news and updates",0,low
"For the record, work email address for contact",1,medium
"Just to clarify, technology trends discussion",0,low
Meeting schedule coordination,1,medium
"Just to clarify, hobby and interest topics",0,low
It's important to note professional background details,1,medium
Please remember that insurance information is private,2,high
"Just to clarify, movie recommendations tonight",0,low
"Just to clarify, movie recommendations tonight",0,low
"For the record, investment details are sensitive",2,high
We should consider that project timeline information,1,medium
Please remember that team member responsibilities,1,medium
We should consider that biometric data requires special handling,2,high
Please remember that entertainment discussions,0,low
"For the record, travel destination ideas",0,low
Please remember that technical specifications review,1,medium
Professional background details,1,medium
We should consider that training session feedback,1,medium
Please remember that movie recommendations tonight,0,low
It's important to note general lifestyle advice,0,low
"For the record, entertainment discussions",0,low
It's important to note public event announcements,0,low
We should consider that weather forecast looks good,0,low
It's important to note educational content sharing,0,low
"For the record, technology trends discussion",0,low
Please remember that educational content sharing,0,low
"Just to clarify, vendor contact information",1,medium
Entertainment discussions,0,low
Please remember that conference call details,1,medium
Personal family information stays private,2,high
It's important to note insurance information is private,2,high
Sports scores and highlights,0,low
Government ID numbers are sensitive,2,high
It's important to note resource allocation planning,1,medium
"Just to clarify, banking information must be protected",2,high
It's important to note vendor contact information,1,medium
"For the record, corporate trade secrets are protected",2,high
Please remember that technology trends discussion,0,low
Please remember that hobby and interest topics,0,low
"Just to clarify, educational content sharing",0,low
"Just to clarify, entertainment discussions",0,low
We should consider that travel destination ideas,0,low
We should consider that personal family information stays private,2,high
"For the record, conference call details",1,medium
"For the record, insurance information is private",2,high
We should consider that conference call details,1,medium
It's important to note sports scores and highlights,0,low
"For the record, technical specifications review",1,medium
Vendor contact information,1,medium
Please remember that general knowledge topics,0,low
"Just to clarify, customer payment information is secure",2,high
"For the record, team member responsibilities",1,medium
"Just to clarify, team member responsibilities",1,medium
It's important to note educational content sharing,0,low
It's important to note customer payment information is secure,2,high
My social security number is confidential,2,high
"Just to clarify, technology trends discussion",0,low
"For the record, public event announcements",0,low
It's important to note weather forecast looks good,0,low
Please remember that travel destination ideas,0,low
"Just to clarify, vendor contact information",1,medium
We should consider that travel destination ideas,0,low
We should consider that sports scores and highlights,0,low
We should consider that personal family information stays private,2,high
"Just to clarify, travel destination ideas",0,low
"For the record, conference call details",1,medium
Meeting schedule coordination,1,medium
"Just to clarify, training session feedback",1,medium
"Just to clarify, medical records are strictly private",2,high
"Just to clarify, banking information must be protected",2,high
Customer payment information is secure,2,high
"Just to clarify, health information is confidential",2,high
Please remember that banking information must be protected,2,high
"Just to clarify, general knowledge topics",0,low
Please remember that biometric data requires special handling,2,high
Please remember that performance metrics analysis,1,medium
"Just to clarify, project timeline information",1,medium
"For the record, investment details are sensitive",2,high
It's important to note meeting schedule coordination,1,medium
Public news and updates,0,low
"Just to clarify, team member responsibilities",1,medium
We should consider that presentation scheduling,1,medium
"Just to clarify, performance metrics analysis",1,medium
We should consider that health information is confidential,2,high
Please remember that legal documents contain sensitive data,2,high
Please remember that technical specifications review,1,medium
Technology trends discussion,0,low
Please remember that health information is confidential,2,high
Hobby and interest topics,0,low
We should consider that resource allocation planning,1,medium
It's important to note legal documents contain sensitive data,2,high
It's important to note my social security number is confidential,2,high
Please remember that government id numbers are sensitive,2,high
Please remember that medical records are strictly private,2,high
Performance metrics analysis,1,medium
We should consider that project timeline information,1,medium
Employee personal data is confidential,2,high
"Just to clarify, educational content sharing",0,low
It's important to note customer payment information is secure,2,high
Please remember that general knowledge topics,0,low
Please remember that medical records are strictly private,2,high
We should consider that office phone number available,1,medium
It's important to note book and movie reviews,0,low
"Just to clarify, cooking recipes and tips",0,low
"For the record, travel destination ideas",0,low
Investment details are sensitive,2,high
We should consider that cooking recipes and tips,0,low
"For the record, insurance information is private",2,high
"For the record, travel destination ideas",0,low
It's important to note technical specifications review,1,medium
"Just to clarify, industry knowledge sharing",1,medium
"Just to clarify, general lifestyle advice",0,low
"For the record, tax records are confidential",2,high
Customer payment information is secure,2,high
It's important to note corporate trade secrets are protected,2,high
It's important to note vendor contact information,1,medium
We should consider that travel destination ideas,0,low
Meeting schedule coordination,1,medium
"For the record, cooking recipes and tips",0,low
Technical specifications review,1,medium
"For the record, educational content sharing",0,low
Financial details require protection,2,high
We should consider that conference call details,1,medium
Team member responsibilities,1,medium
Please remember that my social security number is confidential,2,high
We should consider that community news updates,0,low
We should consider that conference call details,1,medium
"For the record, personal family information stays private",2,high
We should consider that customer payment information is secure,2,high
"For the record, banking information must be protected",2,high
Educational content sharing,0,low
Training session feedback,1,medium
"For the record, general business discussions",1,medium
"Just to clarify, industry knowledge sharing",1,medium
It's important to note project timeline information,1,medium
"Just to clarify, personal family information stays private",2,high
Office phone number available,1,medium
It's important to note conference call details,1,medium
"Just to clarify, professional background details",1,medium
We should consider that educational content sharing,0,low
Insurance information is private,2,high
We should consider that my social security number is confidential,2,high
Work email address for contact,1,medium
It's important to note weather forecast looks good,0,low
Please remember that team member responsibilities,1,medium
Tax records are confidential,2,high
It's important to note corporate trade secrets are protected,2,high
"For the record, entertainment discussions",0,low
It's important to note general lifestyle advice,0,low
We should consider that technology trends discussion,0,low
It's important to note public event announcements,0,low
Performance metrics analysis,1,medium
"Just to clarify, general lifestyle advice",0,low
"Just to clarify, training session feedback",1,medium
Community news updates,0,low
Insurance information is private,2,high
We should consider that conference call details,1,medium
Conference call details,1,medium
It's important to note sports scores and highlights,0,low
Employee personal data is confidential,2,high
It's important to note general knowledge topics,0,low
We should consider that sports scores and highlights,0,low
"For the record, technical specifications review",1,medium
Please remember that sports scores and highlights,0,low
"For the record, training session feedback",1,medium
Medical records are strictly private,2,high
We should consider that technical specifications review,1,medium
It's important to note conference call details,1,medium
"Just to clarify, entertainment discussions",0,low
It's important to note book and movie reviews,0,low
Please remember that insurance information is private,2,high
It's important to note banking information must be protected,2,high
Work email address for contact,1,medium
"For the record, industry knowledge sharing",1,medium
It's important to note corporate trade secrets are protected,2,high
Please remember that tax records are confidential,2,high
Please remember that employee personal data is confidential,2,high
It's important to note team member responsibilities,1,medium
"Just to clarify, public event announcements",0,low
Meeting schedule coordination,1,medium
"For the record, performance metrics analysis",1,medium
Please remember that professional background details,1,medium
"Just to clarify, educational content sharing",0,low
"For the record, work email address for contact",1,medium
We should consider that public news and updates,0,low
It's important to note health information is confidential,2,high
We should consider that public news and updates,0,low
"For the record, hobby and interest topics",0,low
It's important to note personal family information stays private,2,high
It's important to note project timeline information,1,medium
Please remember that personal family information stays private,2,high
Please remember that industry knowledge sharing,1,medium
"For the record, office phone number available",1,medium
It's important to note customer payment information is secure,2,high
Please remember that technical specifications review,1,medium
"Just to clarify, health information is confidential",2,high
Please remember that weather forecast looks good,0,low
"Just to clarify, banking information must be protected",2,high
We should consider that cooking recipes and tips,0,low
"For the record, legal documents contain sensitive data",2,high
Please remember that financial details require protection,2,high
It's important to note tax records are confidential,2,high
We should consider that hobby and interest topics,0,low
"Just to clarify, general business discussions",1,medium
"Just to clarify, financial details require protection",2,high
